original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
it,Una vita tranquilla,3.416,3,6.6,63,105.0,"Crime,Drama",6.9,1956
en,Peep World,3.413,3,5.0,26,79.0,"Comedy,Drama",5.6,3476
de,Dschungelkind,3.412,3,7.3,19,131.0,"Adventure,Biography,Drama",7.1,970
en,The Trouble with Bliss,3.405,10,4.5,24,97.0,"Comedy,Drama",5.4,2351
es,Nostalgia de la luz,3.401,3,7.8,58,90.0,Documentary,7.6,4242
en,Killer Eye: Halloween Haunt,3.392,10,2.5,8,69.0,Horror,3.5,276
es,La casa muda,3.383,1,5.7,72,86.0,"Adventure,Drama,Horror",5.4,7121
en,Earthling,3.381,3,3.3,10,111.0,Sci-Fi,4.2,601
en,Here,3.347,1,5.5,13,126.0,"Adventure,Drama,Romance",6.0,855
en,Here,3.347,1,5.5,13,114.0,"Drama,Family",3.0,9
en,Here,0.6,1,2.5,2,126.0,"Adventure,Drama,Romance",6.0,855
en,Here,0.6,1,2.5,2,114.0,"Drama,Family",3.0,9
en,Corman's World: Exploits of a Hollywood Rebel,3.346,1,7.4,29,95.0,Documentary,7.6,2063
en,Born to Ride,3.304,6,4.4,8,90.0,"Action,Comedy",3.5,651
en,Will,3.273,11,6.8,30,102.0,"Drama,Family,Sport",6.9,2987
en,The Orphan Killer,3.273,11,3.6,16,83.0,Horror,3.9,1526
en,Robin Hood: Ghosts of Sherwood,3.271,11,3.0,5,116.0,"Action,Adventure,Mystery",1.7,468
en,Little Murder,3.208,1,4.8,11,98.0,"Crime,Drama,Thriller",4.8,685
en,The Tenant,3.203,8,3.1,7,96.0,"Action,Horror,Thriller",3.2,622
en,Father's Day,3.186,6,5.9,37,99.0,"Action,Comedy,Horror",6.0,2482
pt,State of Emergency,3.174,1,4.4,34,90.0,"Horror,Sci-Fi,Thriller",5.3,2732
en,Gingerdead Man 3: Saturday Night Cleaver,3.172,9,4.8,13,78.0,"Comedy,Fantasy,Horror",3.9,802
en,Alien Opponent,3.166,8,5.9,8,92.0,"Action,Comedy,Sci-Fi",4.4,424
en,Conan O'Brien Can't Stop,3.161,6,6.6,57,89.0,"Comedy,Documentary,Music",7.0,5871
en,Monster Brawl,3.142,1,4.3,27,89.0,"Action,Comedy,Horror",3.6,2147
en,Blood Runs Cold,3.123,10,5.0,15,80.0,Horror,4.1,1222
en,Dead Inside,3.085,11,3.8,8,83.0,Horror,3.6,370
en,All Things Fall Apart,3.079,3,5.6,33,110.0,"Drama,Sport",5.5,2402
en,I'm Not Jesus Mommy,3.051,5,4.0,6,89.0,"Drama,Sci-Fi,Thriller",2.6,368
en,The Speak,3.044,1,3.5,8,83.0,Horror,6.4,1446
en,Burning Man,3.032,9,6.2,29,110.0,"Drama,Romance",6.5,3471
en,The Collapsed,3.032,7,3.8,16,82.0,"Drama,Horror,Sci-Fi",3.6,903
en,A Warrior's Heart,3.02,12,5.2,38,86.0,"Action,Drama,Family",5.5,2260
en,Natural Selection,2.997,3,6.3,13,90.0,"Comedy,Drama",6.4,1182
en,Natural Selection,2.997,3,6.3,13,101.0,"Drama,Thriller",5.2,1594
en,Natural Selection,6.15,8,5.4,96,90.0,"Comedy,Drama",6.4,1182
en,Natural Selection,6.15,8,5.4,96,101.0,"Drama,Thriller",5.2,1594
en,Ecstasy of Order: The Tetris Masters,2.994,10,6.9,25,93.0,Documentary,7.6,1334
en,Zombie Apocalypse: Redemption,2.983,3,3.6,5,101.0,"Action,Horror",3.2,537
en,Munger Road,2.974,9,4.3,16,86.0,"Horror,Mystery,Thriller",4.5,1458
en,The Hunters,2.973,12,3.7,19,111.0,"Crime,Horror,Thriller",4.2,1986
en,The Hunters,6.03,10,5.3,165,111.0,"Crime,Horror,Thriller",4.2,1986
en,Respire,2.965,1,5.4,9,87.0,"Horror,Thriller",4.3,613
en,Respire,2.965,1,5.4,9,91.0,Drama,7.1,6136
en,Jackboots on Whitehall,2.953,7,5.1,16,91.0,"Animation,Comedy,Sci-Fi",5.3,1178
en,The Ghostmaker,2.946,8,5.0,28,91.0,"Horror,Sci-Fi,Thriller",4.9,2019
en,The Hike,2.94,9,3.9,25,83.0,Horror,3.8,1414
hi,Thank You,2.925,4,5.2,30,125.0,Comedy,4.7,4628
en,The Color Wheel,2.922,4,6.4,17,83.0,"Comedy,Romance",6.7,1184
en,In the Family,2.895,11,7.1,15,169.0,"Drama,Romance",7.0,647
es,Somos lo que hay,2.889,2,5.8,38,90.0,"Drama,Horror",5.7,4276
en,Mission to Lars,2.88,9,6.3,9,74.0,"Adventure,Biography,Documentary",6.7,951
en,Answer This!,2.872,10,4.8,9,105.0,Comedy,5.4,928
en,Gun Hill Road,2.863,8,6.0,9,86.0,Drama,6.6,1048
fa,Circumstance,2.86,8,6.9,45,107.0,Drama,5.9,7055
en,Few Options,2.839,7,3.0,1,90.0,"Crime,Drama",6.1,458
en,The Eves,2.832,4,5.7,5,85.0,Thriller,4.3,343
en,God Bless Ozzy Osbourne,2.828,4,7.0,13,120.0,"Biography,Documentary,Music",7.5,1713
en,Unauthorized: The Harvey Weinstein Project,2.819,10,5.1,8,90.0,"Biography,Documentary",6.4,301
en,Uncle Kent,2.806,1,6.2,8,72.0,Drama,5.1,479
en,Lope,2.794,1,5.4,15,106.0,"Biography,Drama,History",6.1,972
en,Five,2.792,10,7.2,15,102.0,Comedy,6.3,2179
no,Jeg reiser alene,2.783,12,6.1,11,90.0,Drama,6.5,1230
en,The Perfect Family,2.773,4,4.7,12,84.0,"Comedy,Drama",5.7,1353
en,Venom,2.758,7,4.3,6,112.0,"Action,Sci-Fi,Thriller",6.7,275406
en,Venom,2.758,7,4.3,6,92.0,Thriller,3.0,162
en,Venom,44.007,10,6.6,6206,112.0,"Action,Sci-Fi,Thriller",6.7,275406
en,Venom,44.007,10,6.6,6206,92.0,Thriller,3.0,162
en,Storm War,2.754,11,3.5,11,85.0,"Action,Drama,Sci-Fi",3.3,782
en,Oranges and Sunshine,2.726,10,7.2,43,105.0,"Drama,History",7.1,4740
en,Empty,2.724,1,3.9,11,82.0,"Drama,Horror,Sci-Fi",3.7,633
en,Under the Boardwalk: The Monopoly Story,2.703,3,6.2,14,88.0,"Documentary,History,Sport",6.2,416
en,The Last Lions,2.686,2,7.6,25,88.0,"Documentary,Family",8.3,3820
en,Night Sights,2.683,12,3.4,9,89.0,"Drama,Family,Sci-Fi",3.0,169
en,The Corridor,2.634,3,5.1,28,98.0,"Drama,Horror,Sci-Fi",4.8,2472
ru,You and I,2.629,1,4.9,25,100.0,"Drama,Romance",4.9,2094
sv,Fyra år till,2.621,6,6.7,10,87.0,"Comedy,Drama,Romance",6.2,965
de,Hotel Lux,2.619,12,5.9,25,102.0,Comedy,6.0,1090
en,Remains,2.618,12,4.6,30,88.0,"Action,Drama,Horror",4.3,1908
en,Division III: Football's Finest,2.607,10,4.3,25,98.0,"Comedy,Romance,Sport",5.6,1430
en,The Crying Dead,2.603,10,4.0,9,81.0,"Adventure,Horror,Thriller",4.9,844
en,The Great Ghost Rescue,2.582,10,4.9,12,95.0,"Family,Fantasy,Horror",4.7,452
en,Knockout,2.575,3,5.1,25,90.0,"Action,Family",5.0,2266
en,Mimesis,2.573,10,3.8,18,95.0,"Fantasy,Horror",4.5,956
de,Stadt Land Fluss,2.57,6,7.0,20,88.0,"Drama,Romance",6.6,1766
es,Año bisiesto,2.563,6,5.6,30,94.0,"Drama,Romance",5.9,2211
en,Not Another Not Another Movie,2.551,10,2.6,13,99.0,Comedy,2.7,1572
pl,"Och, Karol 2",2.548,11,5.2,17,105.0,Comedy,4.3,704
en,The Catechism Cataclysm,2.542,10,3.9,8,75.0,Comedy,5.6,634
en,Hollywood Sex Wars,2.533,10,3.8,6,106.0,Comedy,5.4,4424
en,Dirty Movie,2.533,2,3.2,22,91.0,Comedy,3.0,2895
de,Jack the Reaper,2.521,1,4.2,11,88.0,Horror,3.5,833
en,Alien Armageddon,2.511,11,2.1,16,95.0,Sci-Fi,2.1,1091
de,Die Fremde,2.51,2,6.7,31,119.0,Drama,7.5,4941
de,Poll,2.507,1,7.0,11,129.0,Drama,7.0,943
nl,Black Butterflies,2.461,3,6.3,17,100.0,"Biography,Drama",6.2,1941
en,Silver Tongues,2.447,11,6.2,11,87.0,Drama,6.8,699
en,Nirvana: Live at the Paramount,2.44,9,8.5,14,72.0,"Documentary,Music",8.7,875
fr,De l'huile sur le feu,2.44,12,4.4,21,100.0,Comedy,4.2,165
en,Eames: The Architect & The Painter,2.433,11,6.9,20,85.0,"Biography,Documentary",7.2,893
en,August,2.433,6,6.6,19,99.0,"Drama,Romance",5.9,1609
en,The Chameleon,2.426,7,5.3,23,106.0,"Biography,Crime,Drama",5.6,1802
en,Siren,2.42,3,4.1,27,86.0,Horror,3.6,1756
en,Siren,2.42,3,4.1,27,93.0,Drama,6.3,270
en,Siren,0.6,10,7.3,2,86.0,Horror,3.6,1756
en,Siren,0.6,10,7.3,2,93.0,Drama,6.3,270
en,Siren,8.471,12,5.7,96,86.0,Horror,3.6,1756
en,Siren,8.471,12,5.7,96,93.0,Drama,6.3,270
en,These Amazing Shadows,2.415,1,7.6,36,88.0,Documentary,7.6,1521
en,Manborg,2.406,9,5.2,36,60.0,"Action,Adventure,Comedy",5.6,2201
en,On the Ice,2.404,2,6.8,11,96.0,"Drama,Thriller",6.4,911
en,Hell and Back Again,2.403,10,6.5,24,88.0,"Action,Documentary,History",6.5,2136
en,Beat the World,2.402,6,4.9,27,91.0,"Drama,Music",4.6,1789
en,Undefeated,2.397,3,7.7,37,113.0,"Documentary,Sport",7.8,6432
en,Longhorns,2.394,6,5.5,19,75.0,"Comedy,Drama,Romance",5.5,1277
en,Last Man Standing,2.394,6,4.4,11,85.0,"Biography,Crime,Documentary",5.2,22
ja,Gokudô heiki,2.379,7,4.0,4,105.0,"Action,Sci-Fi",5.1,483
en,Amber Lake,2.376,10,5.7,3,81.0,"Drama,Thriller",5.8,378
en,Bag It,2.369,9,5.5,5,74.0,"Comedy,Documentary,Drama",7.5,649
en,Jerusalem Countdown,2.357,8,5.0,11,85.0,Thriller,4.1,1175
en,Go for It!,2.352,5,6.0,10,105.0,"Drama,Musical",3.9,1072
en,"Battle: New York, Day 2",2.348,11,1.0,6,94.0,"Action,Sci-Fi,Thriller",1.9,695
en,Ethos,2.347,1,6.7,8,78.0,Documentary,7.6,1133
en,Africa United,2.341,6,6.5,16,88.0,"Adventure,Comedy,Drama",6.6,1320
en,Let Go,2.334,10,5.6,9,95.0,Comedy,5.4,498
en,The Eye of the Storm,2.329,9,5.4,11,114.0,Drama,6.3,1440
en,The Bling Ring,2.325,9,4.2,28,90.0,"Biography,Crime,Drama",5.6,77726
en,The Bling Ring,8.935,6,5.4,2069,90.0,"Biography,Crime,Drama",5.6,77726
en,Private Romeo,2.324,6,5.6,30,94.0,"Drama,Romance",5.8,1954
de,Klitschko,2.323,10,6.6,24,118.0,"Biography,Documentary,Sport",7.7,2470
en,Thomas & Friends: Day of the Diesels,2.323,9,6.0,6,60.0,Animation,5.6,147
en,BreadCrumbs,2.319,1,3.9,16,88.0,"Horror,Thriller",3.2,762
no,Jørgen + Anne = sant,2.317,3,6.6,20,83.0,"Family,Mystery",6.9,767
en,Collaborator,2.316,10,5.3,6,87.0,"Comedy,Drama,Thriller",6.1,711
en,The Last Rites of Joe May,2.313,10,6.2,9,107.0,Drama,7.0,600
en,Without Men,2.312,6,4.5,13,87.0,Comedy,3.3,1576
fr,"Nannerl, la soeur de Mozart",2.309,8,6.5,16,120.0,"Biography,Drama,Music",6.4,1392
en,Pathfinders: In the Company of Strangers,2.292,1,4.3,21,100.0,"Action,Drama,History",3.5,1202
en,Bunnyman,2.292,6,2.9,17,90.0,Horror,3.0,1086
en,Bal,2.288,3,7.1,39,103.0,Drama,7.2,6221
en,On the Inside,2.285,12,4.9,21,95.0,"Drama,Thriller",5.3,1897
en,On the Inside,2.285,12,4.9,21,81.0,Thriller,6.5,22
en,Memorial Day,2.279,6,5.9,25,104.0,"Action,Drama,History",6.1,2026
en,Man on the Train,2.271,10,5.6,7,100.0,Drama,5.5,601
en,Small Town Murder Songs,2.261,5,5.4,28,75.0,"Crime,Drama,Thriller",5.9,2731
en,Memory Lane,2.252,10,4.4,14,98.0,Drama,6.0,128
en,Memory Lane,2.252,10,4.4,14,70.0,"Crime,Sci-Fi,Thriller",6.1,1233
en,Memory Lane,0.934,3,6.0,3,98.0,Drama,6.0,128
en,Memory Lane,0.934,3,6.0,3,70.0,"Crime,Sci-Fi,Thriller",6.1,1233
fr,"Les aventures de Philibert, capitaine puceau",2.219,6,5.8,13,103.0,"Adventure,Comedy",5.0,387
de,Goethe!,2.218,11,6.0,32,102.0,"Drama,Romance",6.7,2593
en,Page One: Inside the New York Times,2.216,4,6.9,31,92.0,Documentary,6.9,3159
ro,Aurora,2.211,6,5.8,11,181.0,Drama,6.7,1398
ro,Aurora,2.211,6,5.8,11,124.0,"Romance,Sci-Fi,Thriller",6.1,2403
ro,Aurora,2.211,6,5.8,11,83.0,Drama,7.0,87
ro,Aurora,2.211,6,5.8,11,98.0,Drama,6.3,7
ro,Aurora,2.211,6,5.8,11,106.0,"Comedy,Drama,Romance",7.5,200
ro,Aurora,2.211,6,5.8,11,110.0,"Horror,Thriller",4.3,298
es,Aurora,0.6,4,6.0,2,181.0,Drama,6.7,1398
es,Aurora,0.6,4,6.0,2,124.0,"Romance,Sci-Fi,Thriller",6.1,2403
es,Aurora,0.6,4,6.0,2,83.0,Drama,7.0,87
es,Aurora,0.6,4,6.0,2,98.0,Drama,6.3,7
es,Aurora,0.6,4,6.0,2,106.0,"Comedy,Drama,Romance",7.5,200
es,Aurora,0.6,4,6.0,2,110.0,"Horror,Thriller",4.3,298
en,Dear God No!,2.211,10,3.5,17,81.0,"Comedy,Horror",4.5,1524
en,Road to Nowhere,2.201,6,5.4,23,121.0,"Romance,Thriller",5.5,1552
en,Aliens vs. Avatars,2.199,9,2.4,12,80.0,"Horror,Sci-Fi",1.6,1544
en,Conception,2.187,1,4.5,12,88.0,"Comedy,Romance",5.4,1148
en,Buck,2.172,6,7.3,22,88.0,Documentary,7.6,3045
en,The Bunny Game,2.165,1,4.3,36,76.0,Horror,3.5,1897
nl,If a Tree Falls: A Story of the Earth Liberation Front,2.153,6,6.5,16,85.0,"Biography,Crime,Documentary",7.2,2958
en,A Beginner's Guide to Endings,2.149,4,6.3,17,93.0,"Comedy,Drama",6.4,1553
en,The Broken Tower,2.149,4,6.3,12,99.0,"Biography,Drama,History",5.1,1119
en,Act Naturally,2.147,3,5.8,5,90.0,"Comedy,Drama",4.7,280
en,Bombay Beach,2.143,10,6.5,9,80.0,"Documentary,Drama,Musical",7.0,1185
en,The Grace Card,2.142,2,6.5,18,101.0,Drama,6.6,2488
en,Jane's Journey,2.132,9,4.6,4,107.0,"Biography,Documentary",7.3,269
en,A Warm Wind,2.122,11,6.0,4,94.0,Drama,5.8,133
fr,American Translation,2.118,10,6.5,15,109.0,Drama,5.4,715
en,The Oregonian,2.111,1,5.5,13,81.0,"Horror,Mystery,Thriller",4.2,593
en,The Watermen,2.11,12,4.0,18,94.0,"Horror,Thriller",3.0,1158
en,The Off Hours,2.104,1,5.2,8,93.0,Drama,5.9,363
en,The One Warrior,2.103,11,2.3,4,91.0,"Action,Fantasy",2.5,428
en,Pete Smalls Is Dead,2.099,4,4.6,10,95.0,"Comedy,Crime",5.1,1061
no,Mørke sjeler,2.098,12,4.6,10,95.0,"Horror,Thriller",5.2,1645
en,Fast Five,2.097,4,7.2,4294,130.0,"Action,Crime,Thriller",7.3,329892
en,And Here No Devil Can Hurt You,2.092,1,3.3,3,67.0,"Horror,Mystery,Thriller",3.2,52
en,A Little Closer,2.091,1,5.8,6,72.0,"Drama,Romance",5.7,282
hi,Game,2.089,4,5.1,20,135.0,"Action,Crime,Drama",5.1,1761
hi,Game,2.089,4,5.1,20,80.0,"Drama,Thriller",7.5,13
hi,Game,2.089,4,5.1,20,140.0,Romance,7.4,5
hi,Game,2.089,4,5.1,20,125.0,"Action,Mystery,Thriller",6.3,98
en,Game,0.686,4,5.7,3,135.0,"Action,Crime,Drama",5.1,1761
en,Game,0.686,4,5.7,3,80.0,"Drama,Thriller",7.5,13
en,Game,0.686,4,5.7,3,140.0,Romance,7.4,5
en,Game,0.686,4,5.7,3,125.0,"Action,Mystery,Thriller",6.3,98
en,Game,0.845,5,6.0,4,135.0,"Action,Crime,Drama",5.1,1761
en,Game,0.845,5,6.0,4,80.0,"Drama,Thriller",7.5,13
en,Game,0.845,5,6.0,4,140.0,Romance,7.4,5
en,Game,0.845,5,6.0,4,125.0,"Action,Mystery,Thriller",6.3,98
en,A Matter of Taste: Serving Up Paul Liebrandt,2.084,6,4.7,5,68.0,"Biography,Documentary",7.1,420
en,The Legend of Hell's Gate: An American Conspiracy,2.078,3,3.8,9,108.0,"Action,Adventure,History",4.5,654
es,Perras,2.073,6,4.4,22,100.0,"Drama,Romance,Thriller",5.4,782
en,Seven Days in Utopia,2.067,9,5.4,27,100.0,"Drama,Sport",6.1,2737
en,The Con Artist,2.061,6,4.8,10,84.0,"Comedy,Crime,Drama",4.8,869
en,Black Panther,2.058,1,5.1,11,134.0,"Action,Adventure,Sci-Fi",7.3,516148
en,Black Panther,44.14,2,7.4,12365,134.0,"Action,Adventure,Sci-Fi",7.3,516148
en,Walk a Mile in My Pradas,2.05,11,4.9,8,87.0,Comedy,4.6,327
en,Bite Marks,2.048,6,3.4,10,84.0,"Comedy,Horror",4.2,465
en,The Passing,2.038,5,3.3,4,92.0,Horror,3.4,174
en,The Passing,0.6,10,6.5,2,92.0,Horror,3.4,174
en,Sympathy for Delicious,2.036,4,6.2,15,96.0,Drama,5.7,1738
de,Vamperifica,2.032,10,4.4,8,99.0,"Comedy,Horror",3.7,312
en,Below Zero,2.027,10,5.2,17,99.0,Thriller,4.4,740
da,Orla Frøsnapper,2.008,6,3.4,7,78.0,"Animation,Comedy,Family",5.1,454
de,My Last Day Without You,2.007,6,5.8,5,90.0,"Comedy,Drama,Romance",5.7,1178
en,The FP,2.007,3,5.4,16,82.0,Comedy,5.6,1541
en,Quest for Zhu,2.005,9,5.2,8,72.0,"Adventure,Animation,Family",4.7,155
en,When Harry Tries to Marry,2.0,4,6.1,8,93.0,"Comedy,Romance",4.6,603
en,The Family,2.0,3,3.4,5,88.0,"Horror,Thriller",5.0,833
en,The Family,2.0,3,3.4,5,111.0,"Comedy,Crime,Thriller",6.3,102576
en,The Family,2.0,3,3.4,5,152.0,"Comedy,Crime,Drama",7.5,15
en,The Family,2.0,3,3.4,5,98.0,Documentary,6.3,252
en,The Family,11.571,9,6.2,1647,88.0,"Horror,Thriller",5.0,833
en,The Family,11.571,9,6.2,1647,111.0,"Comedy,Crime,Thriller",6.3,102576
en,The Family,11.571,9,6.2,1647,152.0,"Comedy,Crime,Drama",7.5,15
en,The Family,11.571,9,6.2,1647,98.0,Documentary,6.3,252
en,Showgirls 2: Penny's from Heaven,1.993,11,2.6,7,145.0,"Comedy,Drama,Thriller",1.8,409
de,Cold Fusion,1.99,1,2.2,7,84.0,"Action,Sci-Fi,Thriller",3.3,393
en,Newlyweds,1.973,12,5.4,7,95.0,"Comedy,Drama",6.4,1436
en,17 Miracles,1.972,1,5.3,12,113.0,"Adventure,History",6.4,1176
en,Still Screaming: The Ultimate Scary Movie Retrospective,1.968,4,7.7,6,90.0,Documentary,7.6,337
en,A Cold Day in Hell,1.966,1,3.6,7,95.0,Western,2.2,442
en,A Cold Day in Hell,1.966,1,3.6,7,72.0,Drama,6.6,10
de,Schlafkrankheit,1.96,10,6.8,6,91.0,Drama,6.3,598
en,Jess + Moss,1.96,1,6.8,9,83.0,Drama,6.3,665
en,The High Cost of Living,1.96,5,6.6,17,92.0,Drama,6.8,1913
en,Crash Site,1.96,8,3.8,4,90.0,"Drama,Horror,Thriller",3.4,368
fr,Santa's Apprentice,1.946,1,5.9,19,80.0,"Animation,Comedy",6.5,320
en,Humans vs Zombies,1.945,11,4.3,11,93.0,"Comedy,Horror,Sci-Fi",4.0,1380
en,Crawl,1.937,10,5.6,18,80.0,"Crime,Thriller",4.7,1095
en,Crawl,1.937,10,5.6,18,95.0,Drama,6.0,43
en,Cargo,1.925,10,4.4,7,85.0,Drama,5.2,454
en,Cargo,1.925,10,4.4,7,105.0,"Drama,Horror,Sci-Fi",6.3,27339
en,Cargo,1.925,10,4.4,7,112.0,Drama,7.9,33
en,Cargo,1.925,10,4.4,7,91.0,Drama,6.4,309
en,Cargo,2.457,5,7.6,47,85.0,Drama,5.2,454
en,Cargo,2.457,5,7.6,47,105.0,"Drama,Horror,Sci-Fi",6.3,27339
en,Cargo,2.457,5,7.6,47,112.0,Drama,7.9,33
en,Cargo,2.457,5,7.6,47,91.0,Drama,6.4,309
en,Cargo,12.552,4,6.3,724,85.0,Drama,5.2,454
en,Cargo,12.552,4,6.3,724,105.0,"Drama,Horror,Sci-Fi",6.3,27339
en,Cargo,12.552,4,6.3,724,112.0,Drama,7.9,33
en,Cargo,12.552,4,6.3,724,91.0,Drama,6.4,309
en,Catching Hell,1.924,9,6.6,13,102.0,"Documentary,Sport",7.9,1340
en,A Noble Lie: Oklahoma City 1995,1.922,12,6.4,8,120.0,Documentary,7.3,265
en,PressPausePlay,1.908,3,7.5,11,80.0,"Documentary,Music",7.5,1459
en,The Inheritance,1.897,4,4.0,11,90.0,Thriller,2.8,740
en,Textuality,1.895,4,4.8,6,95.0,"Comedy,Romance",3.9,822
en,Getting That Girl,1.894,10,7.0,6,91.0,"Comedy,Romance",4.9,556
en,Stuck Between Stations,1.888,11,6.2,13,85.0,"Comedy,Drama,Romance",6.3,918
en,Coffin,1.884,10,4.4,8,95.0,"Crime,Horror,Mystery",4.0,868
en,Resurrect Dead: The Mystery of the Toynbee Tiles,1.879,8,6.5,27,86.0,Documentary,7.3,1988
en,Biology 101,1.878,4,3.9,9,76.0,Thriller,3.5,232
en,Angels Crest,1.875,12,5.8,27,92.0,Drama,5.8,1766
en,The Dead Inside,1.874,7,5.0,4,98.0,"Horror,Musical",5.5,327
en,The Dead Inside,1.874,7,5.0,4,116.0,"Action,Horror,Sci-Fi",3.8,330
ru,Khodorkovsky,1.858,11,4.4,7,111.0,"Biography,Documentary,Drama",7.0,871
en,The Speed of Thought,1.856,4,4.6,21,93.0,"Sci-Fi,Thriller",4.8,1503
en,Blank City,1.849,4,6.6,5,94.0,Documentary,7.1,681
en,The Frontier Boys,1.847,2,5.0,4,113.0,"Action,Adventure,Family",5.2,248
en,Hot Coffee,1.844,6,7.4,26,88.0,Documentary,7.5,3523
en,Evil Bong 3: The Wrath of Bong,1.843,4,4.1,9,87.0,"Comedy,Horror,Sci-Fi",3.7,420
ru,Dom,1.823,11,5.4,11,97.0,Drama,6.9,230
ru,Dom,1.823,11,5.4,11,127.0,Drama,7.5,1049
ru,Dom,1.823,11,5.4,11,82.0,Documentary,7.4,22
ru,Dom,1.823,11,5.4,11,71.0,"Drama,Romance,Thriller",8.4,32
en,What Happens Next,1.816,8,5.4,11,100.0,"Comedy,Romance",5.8,691
en,The Victim,1.814,6,4.4,22,83.0,Thriller,4.4,1887
en,Son of Morning,1.812,1,2.9,12,81.0,"Comedy,Drama",4.0,543
en,The Summer of Massacre,1.809,5,2.8,5,98.0,"Horror,Thriller",2.6,260
en,Occupant,1.8,10,5.2,23,86.0,Thriller,4.8,1526
en,Making the Boys,1.799,3,7.0,2,90.0,"Biography,Documentary,Romance",6.1,470
en,The Dynamiter,1.798,10,6.3,15,73.0,Drama,6.9,540
en,The Chateau Meroux,1.785,8,4.8,22,94.0,"Drama,Romance",5.2,1037
en,I Got Next,1.78,6,5.8,6,97.0,Documentary,6.3,90
en,Beast Beneath,1.773,1,2.3,4,90.0,"Action,Horror,Thriller",2.9,228
en,The Hagstone Demon,1.772,9,3.3,5,96.0,Horror,4.1,289
en,The Green,1.765,11,6.2,11,91.0,"Drama,Romance",6.5,741
en,Deadtime Stories 2,1.757,9,3.7,10,77.0,Horror,3.8,475
en,In Our Name,1.753,6,5.4,7,93.0,Drama,6.2,438
en,The Dish & the Spoon,1.751,3,6.1,14,92.0,"Comedy,Drama,Romance",5.8,1052
en,Union Square,1.741,7,4.9,7,80.0,Drama,5.1,482
bg,Tilt,1.734,1,6.6,9,94.0,"Drama,Romance",7.6,3269
bg,Tilt,1.734,1,6.6,9,78.0,"Drama,Thriller",4.4,18
bg,Tilt,1.734,1,6.6,9,99.0,"Drama,Horror,Thriller",5.0,395
en,Tilt,2.164,4,6.0,9,94.0,"Drama,Romance",7.6,3269
en,Tilt,2.164,4,6.0,9,78.0,"Drama,Thriller",4.4,18
en,Tilt,2.164,4,6.0,9,99.0,"Drama,Horror,Thriller",5.0,395
en,Superheroes,1.727,8,6.5,22,90.0,"Action,Comedy,Documentary",6.5,1629
en,The Gundown,1.717,9,4.4,8,97.0,Western,4.5,775
de,4 Tage im Mai,1.713,10,5.9,8,97.0,"Drama,War",6.3,663
en,The Duel,1.712,12,6.0,6,105.0,"Action,Romance,Sport",4.8,314
en,The Duel,1.712,12,6.0,6,110.0,"Drama,Western",5.8,8335
en,The Duel,8.433,6,5.4,150,105.0,"Action,Romance,Sport",4.8,314
en,The Duel,8.433,6,5.4,150,110.0,"Drama,Western",5.8,8335
en,Cell 213,1.709,6,5.3,30,109.0,Horror,5.0,660
en,The Arbor,1.705,4,6.7,13,94.0,"Biography,Documentary,Drama",7.2,1566
es,La mirada invisible,1.691,3,6.2,7,97.0,Drama,6.3,562
en,Chop,1.687,5,6.1,18,98.0,"Comedy,Horror,Thriller",5.7,1119
en,Better This World,1.677,4,6.9,8,82.0,Documentary,7.3,354
en,Raymond Did It,1.675,3,3.7,8,83.0,Horror,3.3,211
en,35 and Ticking,1.666,5,5.2,16,104.0,"Comedy,Romance",5.7,1352
en,How to Die in Oregon,1.662,1,8.3,16,107.0,"Documentary,Drama,Family",8.3,1772
te,Panjaa,1.648,12,6.1,7,156.0,"Action,Thriller",6.6,3324
en,Vegucated,1.644,1,7.3,14,76.0,"Comedy,Documentary",7.2,2701
en,Barbershop Punk,1.632,11,6.3,3,84.0,"Documentary,News",7.3,63
es,Amador,1.632,3,6.3,12,112.0,Drama,6.8,846
es,Amador,1.632,3,6.3,12,96.0,Drama,5.6,8
en,River of Darkness,1.629,3,2.1,8,105.0,Horror,2.1,818
en,Identical,1.62,12,4.3,4,80.0,Thriller,3.7,289
fr,En terrains connus,1.619,1,6.6,5,90.0,Drama,6.7,465
en,The Life Zone,1.615,6,1.8,5,81.0,"Horror,Thriller",2.0,465
en,Down the Shore,1.608,1,5.2,13,93.0,"Drama,Romance,Thriller",5.9,923
en,Time Freak,1.604,2,6.9,9,104.0,"Comedy,Drama,Romance",5.7,3455
en,Time Freak,9.751,11,6.3,97,104.0,"Comedy,Drama,Romance",5.7,3455
en,The Big Bad,1.601,8,1.9,4,78.0,"Drama,Horror,Mystery",3.3,218
en,Balls to the Wall,1.599,4,5.4,10,85.0,Comedy,3.8,450
en,Terrifier,1.595,8,6.3,12,82.0,"Horror,Thriller",5.6,8562
en,Terrifier,9.811,3,6.0,132,82.0,"Horror,Thriller",5.6,8562
es,Los colores de la montaña,1.589,5,7.7,21,90.0,Drama,7.1,1342
en,Final Sale,1.586,1,6.3,3,91.0,"Crime,Drama,Thriller",5.5,191
en,Fire in Babylon,1.584,7,6.5,4,87.0,"Documentary,Sport",7.7,1497
en,Michael Jackson: The Life of an Icon,1.583,6,7.3,20,149.0,"Documentary,Music",7.4,1056
en,Reagan,1.58,2,4.8,9,105.0,"Biography,Documentary",7.4,732
nl,Adem,1.575,1,6.5,14,98.0,Drama,7.2,1143
