original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
en,Diary of a Wimpy Kid,12.256,3,6.0,736,94.0,"Comedy,Drama,Family",6.2,38640
en,The Crazies,12.246,2,6.2,1036,101.0,"Horror,Thriller",6.5,104465
en,Little Fockers,12.153,12,5.6,1883,98.0,"Comedy,Romance",5.5,99222
en,RED,12.082,10,6.6,4162,111.0,"Action,Comedy,Crime",7.1,271570
en,Dear John,12.048,2,6.8,2676,108.0,"Drama,Romance,War",6.3,128657
en,Legion,12.032,1,5.3,1154,100.0,"Action,Fantasy,Horror",5.2,92709
en,Leap Year,11.821,1,6.7,990,100.0,"Comedy,Romance",6.5,86125
en,Fair Game,11.624,5,6.6,384,108.0,"Biography,Drama,Thriller",6.8,43862
en,Green Zone,11.519,3,6.4,1176,115.0,"Action,Drama,Thriller",6.8,122132
en,Remember Me,11.453,3,7.1,2079,113.0,"Drama,Romance",7.1,129443
en,Remember Me,11.453,3,7.1,2079,85.0,Comedy,5.2,72
en,127 Hours,11.435,11,7.0,4469,94.0,"Adventure,Biography,Drama",7.6,323949
en,Piranha 3D,11.302,8,5.3,1029,88.0,"Comedy,Horror",5.4,81327
en,Edge of Darkness,11.252,1,6.3,794,117.0,"Crime,Drama,Mystery",6.6,84753
en,Edge of Darkness,0.6,11,7.0,1,117.0,"Crime,Drama,Mystery",6.6,84753
en,Valentine's Day,11.187,2,5.8,1907,125.0,"Comedy,Romance",5.7,107171
en,The Next Three Days,11.147,11,7.0,1469,133.0,"Action,Crime,Drama",7.4,168066
en,Buried,10.888,9,6.6,1487,95.0,"Drama,Mystery,Thriller",7.0,139426
en,Buried,10.888,9,6.6,1487,95.0,Thriller,6.0,5
en,Gulliver's Travels,10.768,12,5.1,1282,85.0,"Adventure,Comedy,Family",4.9,61178
en,Legend of the Guardians: The Owls of Ga'Hoole,10.754,9,6.6,1223,97.0,"Action,Adventure,Animation",7.0,73790
en,The Spy Next Door,10.746,1,5.7,650,94.0,"Action,Comedy,Family",5.5,36767
en,Jackass 3D,10.715,10,6.3,655,95.0,"Action,Comedy,Documentary",7.0,53289
en,Open Season 3,10.614,1,5.5,237,75.0,"Adventure,Animation,Comedy",5.2,8833
en,Morning Glory,10.595,11,6.3,717,107.0,"Comedy,Drama,Romance",6.5,67367
en,Cats & Dogs: The Revenge of Kitty Galore,10.544,7,4.9,273,82.0,"Action,Comedy,Family",4.3,12642
en,The Fighter,10.395,12,7.3,2325,116.0,"Biography,Drama,Sport",7.8,316539
en,The Tourist,10.307,12,6.1,3133,103.0,"Action,Adventure,Thriller",6.0,206714
