original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Snow White and the Huntsman,Uni.,241300000,2012-06-01,170000000.0,155136755.0,401021746.0
Taken 2,Fox,236300000,2012-10-05,45000000.0,139854287.0,377807404.0
Hotel Transylvania,Sony,210100000,2012-09-28,85000000.0,148313048.0,378505812.0
Journey 2: The Mysterious Island,WB (NL),231400000,2012-02-10,79000000.0,103860290.0,318146162.0
The Expendables 2,LGF,229900000,2012-08-17,100000000.0,85028192.0,311979256.0
Rise of the Guardians,P/DW,203500000,2012-11-21,145000000.0,103412758.0,306900902.0
Wrath of the Titans,WB,221600000,2012-03-30,150000000.0,83670083.0,305270083.0
Battleship,Uni.,237600000,2012-05-18,220000000.0,65233400.0,313477717.0
John Carter,BV,211100000,2012-03-09,275000000.0,73058679.0,282778100.0
The Bourne Legacy,Uni.,162900000,2012-08-10,125000000.0,113203870.0,280355920.0
Lincoln,BV,93100000,2012-11-09,65000000.0,182207973.0,273346281.0
Dark Shadows,WB,165800000,2012-05-11,150000000.0,79727149.0,238202668.0
Resident Evil: Retribution,SGem,197700000,2012-09-14,65000000.0,42345531.0,240647629.0
Silver Linings Playbook,Wein.,104300000,2012-11-16,21000000.0,132092958.0,236412453.0
American Reunion,Uni.,178000000,2012-04-06,50000000.0,56758835.0,236799211.0
Argo,WB,96300000,2012-10-12,44500000.0,136025503.0,227140757.0
Jack Reacher,Par.,138300000,2012-12-21,60000000.0,80070736.0,217370736.0
Safe House,Uni.,81700000,2012-02-10,85000000.0,126181630.0,208542162.0
21 Jump Street,Sony,63100000,2012-03-16,42000000.0,138447667.0,202812429.0
The Vow,SGem,71100000,2012-02-10,30000000.0,125014030.0,197618160.0
Mirror Mirror,Rela.,118100000,2012-03-30,85000000.0,64935167.0,173613482.0
The Impossible,LG/S,161300000,2012-12-21,40000000.0,19019882.0,169590606.0
The Dictator,Par.,119700000,2012-05-16,65000000.0,59650222.0,180148897.0
Looper,TriS,110000000,2012-09-28,30000000.0,66486205.0,170466405.0
Magic Mike,WB,53500000,2012-06-29,7000000.0,113721571.0,170549753.0
Flight,Par.,68000000,2012-11-02,31000000.0,93772375.0,160558438.0
This Means War,Fox,101700000,2012-02-17,65000000.0,54760791.0,156974557.0
Paranormal Activity 4,Par.,88900000,2012-10-19,5000000.0,53900335.0,142817992.0
Step Up Revolution,LG/S,105400000,2012-07-27,33000000.0,35074677.0,165552290.0
The Best Exotic Marigold Hotel,FoxS,90400000,2012-05-04,10000000.0,46383639.0,134639780.0
Zero Dark Thirty,Sony,37100000,2012-12-19,52500000.0,95720716.0,134612435.0
Ghost Rider: Spirit of Vengeance,Sony,80800000,2012-02-17,57000000.0,51774002.0,149217355.0
Cloud Atlas,WB,103400000,2012-10-26,102000000.0,27108272.0,130673154.0
The Woman in Black,CBS,73400000,2012-02-03,15000000.0,54333290.0,128955898.0
The Pirates! Band of Misfits,Sony,92000000,2012-04-27,55000000.0,31051126.0,136143605.0
Parental Guidance,Fox,42500000,2012-12-25,25000000.0,77267296.0,120832383.0
Abraham Lincoln: Vampire Hunter,Fox,79000000,2012-06-22,67500000.0,37519139.0,137489730.0
Pitch Perfect,Uni.,50300000,2012-09-28,17000000.0,65001093.0,116044347.0
Hope Springs,Sony,50700000,2012-08-08,30000000.0,63536011.0,133085295.0
ParaNorman,Focus,51100000,2012-08-17,60000000.0,56003051.0,108119662.0
The Campaign,WB,18000000,2012-08-10,95000000.0,86907746.0,104907746.0
Project X,WB,48000000,2012-03-02,12000000.0,54731865.0,103028188.0
The Devil Inside,Par.,48500000,2012-01-06,1000000.0,53262945.0,101759490.0
The Lucky One,WB,38900000,2012-04-20,25000000.0,60457138.0,96633833.0
Contraband,Uni.,29700000,2012-01-13,25000000.0,66528000.0,98406855.0
Think Like a Man,SGem,4500000,2012-04-20,12000000.0,91547205.0,113373764.0
The Possession,LGF,36300000,2012-08-31,14000000.0,49130588.0,82925064.0
What to Expect When You're Expecting,LGF,43200000,2012-05-18,37500000.0,41152203.0,88473016.0
Frankenweenie,BV,46200000,2012-10-05,39000000.0,35287788.0,81150788.0
Act of Valor,Rela.,11300000,2012-02-24,12000000.0,70012847.0,82497035.0
Sinister,LG/S,29600000,2012-10-12,3000000.0,48086903.0,87727807.0
The Grey,ORF,25700000,2012-01-27,25000000.0,51580136.0,81249176.0
Diary of a Wimpy Kid: Dog Days,Fox,28100000,2012-08-03,22000000.0,49008662.0,77229695.0
To Rome with Love,SPC,56600000,2012-06-22,21500000.0,16684352.0,74326015.0
Here Comes the Boom,Sony,27800000,2012-10-12,42000000.0,45290318.0,73239258.0
Anna Karenina,Focus,56100000,2012-11-16,49000000.0,12816367.0,71004627.0
The Watch,Fox,32900000,2012-07-27,55000000.0,34353000.0,67130045.0
Moonrise Kingdom,Focus,22800000,2012-05-25,16000000.0,45512466.0,68848446.0
Tyler Perry's Madea's Witness Protection,LGF,1200000,2012-06-29,20000000.0,65653242.0,66950887.0
The Cabin in the Woods,LGF,24400000,2012-04-13,30000000.0,42073277.0,70689968.0
Rock of Ages,WB (NL),20900000,2012-06-15,70000000.0,38518613.0,61031932.0
That's My Boy,Sony,20800000,2012-06-15,57500000.0,36931089.0,58085235.0
The Odd Life of Timothy Green,BV,4200000,2012-08-15,40000000.0,51853450.0,55249159.0
The Three Stooges,Fox,10500000,2012-04-13,30000000.0,44338224.0,54052249.0
The Five-Year Engagement,Uni.,25100000,2012-04-27,30000000.0,28700285.0,61623819.0
Lawless,Wein.,16300000,2012-08-29,26000000.0,37397291.0,54393687.0
Silent Hill: Revelation 3D,ORF,34800000,2012-10-26,20000000.0,17530219.0,55975672.0
Red Tails,Fox,489000,2012-01-20,58000000.0,49876377.0,50365498.0
Trouble with the Curve,WB,13200000,2012-09-21,60000000.0,35763137.0,47818913.0
End of Watch,ORF,7100000,2012-09-21,15000000.0,41003371.0,57586606.0
Man on a Ledge,LG/S,27600000,2012-01-27,42000000.0,18620000.0,49621440.0
The Guilt Trip,Par.,4700000,2012-12-19,40000000.0,37134215.0,41294674.0
Killing Them Softly,Wein.,22900000,2012-11-30,15000000.0,14945541.0,39238443.0
Chernobyl Diaries,WB,19000000,2012-05-25,1000000.0,18119640.0,42411721.0
Dredd,LGF,22200000,2012-09-21,45000000.0,13414714.0,41467606.0
Tyler Perry's Good Deeds,LGF,553000,2012-02-24,14000000.0,35025791.0,35579177.0
Arbitrage,RAtt.,27600000,2012-09-14,12000000.0,7919574.0,35830713.0
Alex Cross,LG/S,8700000,2012-10-19,35000000.0,25888412.0,35426759.0
The Perks of Being a Wallflower,LG/S,15600000,2012-09-21,13000000.0,17742948.0,33069303.0
Haywire,Rela.,14400000,2012-01-20,23000000.0,18942396.0,36374700.0
Katy Perry: Part of Me,Par.,7400000,2012-07-05,12000000.0,25326071.0,32700439.0
Lockout,FD,17900000,2012-04-13,20000000.0,14326865.0,33943049.0
Joyful Noise,WB,226000,2012-01-13,27500000.0,30932113.0,31157914.0
Premium Rush,Sony,10800000,2012-08-24,35000000.0,20275446.0,31393201.0
The Raven,Rela.,13600000,2012-04-27,26000000.0,16008272.0,30601801.0
The Master,Wein.,11900000,2012-09-14,37500000.0,16247159.0,50647416.0
Big Miracle,Uni.,4600000,2012-02-03,40000000.0,20157300.0,25268680.0
A Thousand Words,P/DW,3600000,2012-03-09,40000000.0,18450127.0,20790486.0
Wanderlust,Uni.,4200000,2012-02-24,32500000.0,17288155.0,24159934.0
Beasts of the Southern Wild,FoxS,8300000,2012-06-27,1800000.0,12795746.0,23265132.0
Polisse,IFC,20200000,2012-05-18,8900000.0,176988.0,22744132.0
Amour,SPC,13100000,2012-12-19,9700000.0,6738954.0,36787044.0
The Man with the Iron Fists,Uni.,4099999,2012-11-02,15000000.0,15634090.0,22018988.0
Seven Psychopaths,CBS,4400000,2012-10-12,13500000.0,15024049.0,33035736.0
The Cold Light of Day,LG/S,13100000,2012-09-07,20000000.0,3763583.0,25361206.0
The Words,CBS,1700000,2012-09-07,6000000.0,11494838.0,16369708.0
Silent House,ORF,347000,2012-03-09,2000000.0,12739737.0,16610760.0
Bachelorette,RTWC,11500000,2012-09-07,3000000.0,446770.0,12577401.0
Fun Size,Par.,2000000,2012-10-26,14000000.0,9409538.0,11166615.0
Seeking a Friend for the End of the World,Focus,2600000,2012-06-22,10000000.0,7078738.0,11766959.0
The Apparition,WB,4700000,2012-08-24,17000000.0,4936819.0,10637281.0
The Sessions,FoxS,3100000,2012-10-19,1000000.0,6002451.0,11495204.0
On the Road,IFC,8000000,2013-03-22,25000000.0,720828.0,9313302.0
Chasing Mavericks,Fox,600,2012-10-26,20000000.0,6002756.0,8300821.0
Albert Nobbs,RAtt.,2600000,2011-12-21,7500000.0,3014696.0,8539003.0
"Jeff, Who Lives at Home",ParV,148000,2012-03-16,10000000.0,4269426.0,4708127.0
Killer Joe,LD,1700000,2012-07-27,10000000.0,1291645.0,4659110.0
The Paperboy,MNE,661000,2012-10-05,12500000.0,677200.0,4027663.0
A Little Bit of Heaven,MNE,1300000,2012-05-04,12500000.0,10011.0,1100287.0
Coriolanus,Wein.,315000,2012-01-20,10000000.0,749641.0,2179623.0
Kill List,IFC,143000,2012-02-03,800000.0,29063.0,462206.0
Frozen,BV,875700000,2013-11-22,150000000.0,400738009.0,1272469910.0
Iron Man 3,BV,805800000,2013-05-03,200000000.0,408992272.0,1215392272.0
Despicable Me 2,Uni.,602700000,2013-07-03,76000000.0,368065385.0,975216835.0
The Hobbit: The Desolation of Smaug,WB (NL),700000000,2013-12-13,250000000.0,258366855.0,960366855.0
The Hunger Games: Catching Fire,LGF,440300000,2013-11-22,130000000.0,424668047.0,864868047.0
Monsters University,BV,475700000,2013-06-21,200000000.0,268488329.0,743588329.0
Gravity,WB,449100000,2013-10-04,110000000.0,274092705.0,693698673.0
Man of Steel,WB,377000000,2013-06-14,225000000.0,291045518.0,667999518.0
Thor: The Dark World,BV,438200000,2013-11-08,150000000.0,206362140.0,644602516.0
The Croods,Fox,400000000,2013-03-22,135000000.0,187168425.0,573068425.0
World War Z,Par.,337600000,2013-06-21,190000000.0,202359711.0,531514650.0
Star Trek Into Darkness,Par.,238600000,2013-05-16,190000000.0,228778661.0,467381584.0
The Wolverine,Fox,282300000,2013-07-26,115000000.0,132556852.0,416456852.0
Pacific Rim,WB,309200000,2013-07-12,190000000.0,101802906.0,411002906.0
The Wolf of Wall Street,Par.,275100000,2013-12-25,100000000.0,116900694.0,389870414.0
G.I. Joe: Retaliation,Par.,253200000,2013-03-27,140000000.0,122523060.0,375740705.0
Now You See Me,LG/S,234000000,2013-05-31,75000000.0,117723989.0,342769200.0
The Smurfs 2,Sony,276500000,2013-07-31,110000000.0,71017784.0,348547523.0
The Conjuring,WB (NL),182100000,2013-07-19,20000000.0,137400141.0,318000141.0
A Good Day to Die Hard,Fox,237300000,2013-02-14,92000000.0,67349198.0,304249198.0
Oblivion,Uni.,197100000,2013-04-19,120000000.0,89107235.0,287916633.0
Elysium,TriS,193100000,2013-08-09,120000000.0,93050117.0,286192091.0
Turbo,Fox,199500000,2013-07-17,135000000.0,83028130.0,286896578.0
Cloudy with a Chance of Meatballs 2,Sony,154500000,2013-09-27,78000000.0,119793567.0,274392649.0
We're the Millers,WB (NL),119600000,2013-08-07,37000000.0,150394119.0,267816276.0
Epic,Fox,160900000,2013-05-24,100000000.0,107518682.0,262794441.0
The Lone Ranger,BV,171200000,2013-07-02,275000000.0,89302115.0,260002115.0
American Hustle,Sony,101100000,2013-12-13,40000000.0,150117807.0,257878294.0
Grown Ups 2,Sony,113300000,2013-07-12,80000000.0,133668525.0,247023808.0
After Earth,Sony,183300000,2013-05-31,130000000.0,60522097.0,251499665.0
The Heat,Fox,70300000,2013-06-28,43000000.0,159581587.0,229727774.0
Captain Phillips,Sony,111700000,2013-10-11,55000000.0,107136417.0,220648184.0
White House Down,Sony,132300000,2013-06-28,150000000.0,73103784.0,205440387.0
Percy Jackson: Sea of Monsters,Fox,131300000,2013-08-07,90000000.0,68559554.0,200859554.0
Jack the Giant Slayer,WB (NL),132500000,2013-03-01,195000000.0,65187603.0,197687603.0
The Secret Life of Walter Mitty,Fox,129900000,2013-12-25,91000000.0,58236838.0,187861183.0
12 Years a Slave,FoxS,131100000,2013-10-18,20000000.0,56671993.0,181025343.0
Lee Daniels' The Butler,Wein.,60000000,2013-08-16,30000000.0,116632095.0,177025498.0
Identity Thief,Uni.,39500000,2013-02-08,35000000.0,134506920.0,175361578.0
Anchorman 2: The Legend Continues,Par.,46300000,2013-12-18,50000000.0,127352707.0,172185754.0
Olympus Has Fallen,FD,71300000,2013-03-22,70000000.0,98927592.0,172878928.0
Insidious Chapter 2,FD,78300000,2013-09-13,5000000.0,83586447.0,161921515.0
Lone Survivor,Uni.,29700000,2013-12-25,40000000.0,125095601.0,149804632.0
Jackass Presents: Bad Grandpa,Par.,49800000,2013-10-25,15000000.0,102003019.0,160903019.0
47 Ronin,Uni.,113400000,2013-12-25,175000000.0,38362475.0,151716815.0
Mama,Uni.,74800000,2013-01-18,15000000.0,71628180.0,148095566.0
Escape Plan,LG/S,112200000,2013-10-18,70000000.0,25135965.0,103735965.0
Last Vegas,CBS,70500000,2013-01-28,28000000.0,63914167.0,112914167.0
2 Guns,Uni.,56300000,2013-08-02,61000000.0,75612460.0,132493015.0
Walking with Dinosaurs,Fox,90500000,2013-12-20,80000000.0,36076121.0,123368842.0
This is the End,Sony,24600000,2013-06-12,32000000.0,101470202.0,126539117.0
Ender's Game,LG/S,63800000,2013-11-01,110000000.0,61737191.0,127983283.0
Prisoners,WB,61100000,2013-09-20,46000000.0,61002302.0,113402302.0
Saving Mr. Banks,BV,34600000,2013-12-13,35000000.0,83299761.0,114962525.0
Warm Bodies,LG/S,50600000,2013-02-01,30000000.0,66380662.0,115121608.0
Free Birds,Rela.,54600000,2013-11-01,55000000.0,55750480.0,110387072.0
Gangster Squad,WB,59200000,2013-01-11,60000000.0,46000903.0,104100903.0
Philomena,Wein.,62400000,2013-11-22,12000000.0,37709979.0,98963392.0
Riddick,Uni.,56300000,2013-09-06,38000000.0,42025135.0,94763758.0
Safe Haven,Rela.,26200000,2013-02-14,28000000.0,71399120.0,94050951.0
Blue Jasmine,SPC,64099999,2013-07-26,18000000.0,33404871.0,102912961.0
The Mortal Instruments: City of Bones,SGem,64200000,2013-08-21,60000000.0,31165421.0,75965567.0
The Internship,Fox,48800000,2013-06-07,58000000.0,44672764.0,93672764.0
The Purge,Uni.,24900000,2013-06-07,3000000.0,64473115.0,91266581.0
Dhoom 3,Yash,80000000,2013-12-20,24000000.0,8031955.0,11723620.0
About Time,Uni.,71800000,2013-11-01,12000000.0,15323921.0,89309178.0
R.I.P.D.,Uni.,44700000,2013-07-19,130000000.0,33618855.0,79076678.0
The Book Thief,Fox,55100000,2013-11-08,19000000.0,21488481.0,76086711.0
Escape From Planet Earth,Wein.,17600000,2013-02-15,40000000.0,57012977.0,74156610.0
August: Osage County,Wein.,36500000,2013-12-25,25000000.0,37738810.0,50738810.0
The Best Man Holiday,Uni.,2300000,2013-11-15,17000000.0,70525195.0,72835710.0
The Counselor,Fox,54000000,2013-10-25,25000000.0,16973715.0,71009334.0
The Call,TriS,16700000,2013-03-15,12800000.0,51872378.0,69821476.0
One Direction: This is Us,TriS,39700000,2013-08-30,10000000.0,28873374.0,68541786.0
Runner Runner,Fox,43400000,2013-10-04,30000000.0,19316646.0,60512680.0
Kick-Ass 2,Uni.,32000000,2013-08-16,28000000.0,28795985.0,63129909.0
A Haunted House,ORF,20100000,2013-01-11,2500000.0,40041683.0,59922558.0
Quartet,Wein.,41100000,2013-01-11,11000000.0,18388357.0,56178935.0
Dallas Buyers Club,Focus,27900000,2013-11-01,5000000.0,27298285.0,60611845.0
Tyler Perry's A Madea Christmas,LGF,853000,2013-12-13,25000000.0,52543354.0,52543354.0
Delivery Man,BV,19300000,2013-11-22,22000000.0,30659817.0,70536870.0
The Last Stand,LGF,36300000,2013-01-18,30000000.0,12050299.0,48330757.0
21 and Over,Rela.,22400000,2013-03-01,13000000.0,25682380.0,42195766.0
Texas Chainsaw 3D,LGF,12900000,2013-01-04,20000000.0,34341945.0,47666013.0
The Big Wedding,LGF,24700000,2013-04-26,32500000.0,21819348.0,48425971.0
Parker,FD,28600000,2013-01-25,35000000.0,17616641.0,48543388.0
The World's End,Focus,20100000,2013-08-23,20000000.0,26004851.0,47508505.0
Grudge Match,WB,15100000,2013-12-25,40000000.0,29807260.0,69807260.0
Homefront,ORF,22900000,2013-11-27,22000000.0,20158492.0,51695362.0
Jobs,ORF,19800000,2013-08-16,18000000.0,16131410.0,43402515.0
The Place Beyond the Pines,Focus,14100000,2013-03-29,15000000.0,21403519.0,47011449.0
Inside Llewyn Davis,CBS,19700000,2013-12-06,11000000.0,13248209.0,32943247.0
Mud,RAtt.,11000000,2013-04-26,10000000.0,21590086.0,31556959.0
Movie 43,Rela.,23600000,2013-01-25,10000000.0,8840453.0,31164747.0
Kevin Hart: Let Me Explain,LG/S,74000,2013-07-03,2500000.0,32244051.0,32327255.0
Spring Breakers,A24,17600000,2013-03-15,5000000.0,14124286.0,31149251.0
Don Jon,Rela.,6000000,2013-09-27,5500000.0,24477704.0,41268579.0
Nebraska,Par.,10000000,2013-11-15,12000000.0,17654912.0,24761360.0
The Incredible Burt Wonderstone,WB (NL),4900000,2013-03-15,32000000.0,22537881.0,27392609.0
Mandela: Long Walk to Freedom,Wein.,19000000,2013-11-29,35000000.0,8323085.0,29890402.0
Khumba,MNE,27200000,2013-12-06,15000000.0,0.0,20898221.0
Dark Skies,W/Dim.,9000000,2013-02-22,3500000.0,17418667.0,27704111.0
Enough Said,FoxS,7700000,2013-09-18,8000000.0,17550872.0,25621449.0
Trance,FoxS,21900000,2013-04-05,16000000.0,2322593.0,22594052.0
Trance,FoxS,21900000,2012-12-31,950000.0,0.0,0.0
Baggage Claim,FoxS,887000,2013-09-27,8500000.0,21569509.0,22885836.0
The Sapphires,Wein.,18000000,2013-03-22,9000000.0,2450867.0,20395040.0
Dead Man Down,FD,7200000,2013-03-08,30000000.0,10895295.0,19599974.0
Fruitvale Station,Wein.,1300000,2013-07-12,900000.0,16098998.0,17549645.0
Battle of the Year,SGem,7700000,2013-09-20,20000000.0,8888355.0,16723377.0
Out of the Furnace,Rela.,4300000,2013-12-04,22000000.0,11330849.0,15434375.0
Machete Kills,ORF,7000000,2013-10-11,20000000.0,8008161.0,18273009.0
Paranoia,Rela.,6400000,2013-08-16,40000000.0,7388654.0,16340767.0
Stoker,FoxS,10400000,2013-03-01,12000000.0,1703125.0,12034913.0
Before Midnight,SPC,3100000,2013-05-24,3000000.0,8110621.0,23251930.0
Only God Forgives,RTWC,9900000,2013-07-19,4800000.0,775849.0,4494560.0
The Fifth Estate,BV,5300000,2013-10-18,26000000.0,3254172.0,6154172.0
Upside Down,MNE,8000000,2013-03-15,50000000.0,102118.0,26387039.0
Metallica Through the Never,PH,4600000,2013-09-27,18000000.0,3419967.0,9082906.0
Black Nativity,FoxS,436000,2013-11-27,17500000.0,7018188.0,7285135.0
The Sweeney,EOne,6300000,2013-03-01,4500000.0,26345.0,8000366.0
Mr. Nobody,Magn.,3500000,2013-11-01,46500000.0,3622.0,22254.0
The East,FoxS,99700,2013-05-31,6500000.0,2274649.0,3027956.0
All the Boys Love Mandy Lane,RTWC,1900000,2013-10-11,750000.0,0.0,1960521.0
Ain't Them Bodies Saints,IFC,635000,2013-08-16,5000000.0,391611.0,1075009.0
Transformers: Age of Extinction,Par.,858600000,2014-06-27,210000000.0,245439076.0,1104039076.0
The Hobbit: The Battle of the Five Armies,WB (NL),700900000,2014-12-17,250000000.0,255119788.0,945577621.0
Guardians of the Galaxy,BV,440200000,2014-08-01,170000000.0,333172112.0,770867516.0
Maleficent,BV,517100000,2014-05-30,180000000.0,241407328.0,758536735.0
The Hunger Games: Mockingjay - Part 1,LGF,418200000,2014-11-21,125000000.0,337135885.0,766575131.0
X-Men: Days of Future Past,Fox,513900000,2014-05-23,200000000.0,233921534.0,747862775.0
Captain America: The Winter Soldier,BV,454500000,2014-04-04,170000000.0,259746958.0,714401889.0
Dawn of the Planet of the Apes,Fox,502100000,2014-07-11,170000000.0,208545589.0,710644566.0
The Amazing Spider-Man 2,Sony,506100000,2014-05-02,200000000.0,202853933.0,708996336.0
Interstellar,Par.,489400000,2014-11-05,165000000.0,188017894.0,666379375.0
Big Hero 6,BV,435300000,2014-11-07,165000000.0,222527828.0,652127828.0
How to Train Your Dragon 2,Fox,444500000,2014-06-13,145000000.0,177002924.0,614586270.0
American Sniper,WB,197300000,2014-12-25,58000000.0,350126372.0,547326372.0
Rio 2,Fox,368600000,2014-04-11,130000000.0,131538435.0,492846291.0
Lucy,Uni.,336700000,2014-07-25,40000000.0,126573960.0,457507776.0
Penguins of Madagascar,Fox,289700000,2014-11-26,132000000.0,83350911.0,366942531.0
Edge of Tomorrow,WB,270300000,2014-06-06,178000000.0,100206256.0,370541256.0
Gone Girl,Fox,201600000,2014-10-03,61000000.0,167767189.0,368567189.0
Night at the Museum: Secret of the Tomb,Fox,249500000,2014-12-19,127000000.0,113746621.0,353756621.0
Noah,Par.,261399999,2014-03-28,130000000.0,101200044.0,352831065.0
The Maze Runner,Fox,245900000,2014-09-19,34000000.0,102427862.0,348319861.0
22 Jump Street,Sony,139600000,2014-06-13,50000000.0,191719337.0,331333876.0
Divergent,LG/S,137900000,2014-03-21,85000000.0,150947895.0,276014965.0
Mr. Peabody & Sherman,Fox,164200000,2014-03-07,145000000.0,111506430.0,269806430.0
Neighbors,Uni.,120500000,2014-05-09,18000000.0,150086800.0,270944428.0
Exodus: Gods and Kings,Fox,203200000,2014-12-12,140000000.0,65014513.0,268314513.0
Annabelle,WB (NL),172800000,2014-10-03,6500000.0,84273813.0,256862920.0
The Imitation Game,Wein.,142400000,2014-11-28,15000000.0,91125143.0,227740463.0
Non-Stop,Uni.,130600000,2014-02-28,50000000.0,91742160.0,222383055.0
Dracula Untold,Uni.,160800000,2014-10-10,70000000.0,55991880.0,220241723.0
The Expendables 3,LGF,175300000,2014-08-15,100000000.0,39322544.0,209461378.0
Into the Woods,BV,85100000,2014-12-25,56200000.0,128002372.0,213116401.0
Need for Speed,BV,159700000,2014-03-14,66000000.0,43568507.0,194169619.0
The Equalizer,Sony,90800000,2014-09-26,55000000.0,101530738.0,192903624.0
The Grand Budapest Hotel,FoxS,115500000,2014-03-07,31000000.0,59076019.0,163981261.0
Dumb and Dumber To,Uni.,83600000,2014-11-14,40000000.0,86208010.0,156553592.0
Unbroken,Uni.,47800000,2014-12-25,65000000.0,115637895.0,163527824.0
The Monuments Men,Sony,77000000,2014-02-07,70000000.0,78031620.0,158702748.0
Ride Along,Uni.,19500000,2014-01-17,25000000.0,134202565.0,153733800.0
Jack Ryan: Shadow Recruit,Par.,84900000,2014-01-17,60000000.0,50577412.0,131377412.0
Blended,WB,81700000,2014-05-23,45000000.0,46290741.0,127990741.0
Sex Tape,Sony,87500000,2014-07-18,40000000.0,38543473.0,126069509.0
The Theory of Everything,Focus,87800000,2014-11-07,15000000.0,35893537.0,123327692.0
The Nut Job,ORF,56600000,2014-01-17,30000000.0,64251538.0,122529966.0
Pompeii,TriS,94600000,2014-02-21,80000000.0,23169033.0,108469033.0
The Purge: Anarchy,Uni.,40000000,2014-07-18,9000000.0,71562550.0,111534881.0
The Boxtrolls,Focus,58400000,2014-09-26,60000000.0,50837305.0,111946251.0
Horrible Bosses 2,WB,53200000,2014-11-26,40000000.0,54445357.0,105945357.0
Ouija,Uni.,52700000,2014-10-24,5000000.0,50856010.0,103300632.0
Transcendence,WB,80000000,2014-04-18,100000000.0,23022309.0,103039258.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,34400000,2014-10-10,28000000.0,66954149.0,101379287.0
Heaven is for Real,TriS,9900000,2014-04-16,12000000.0,91386097.0,100916299.0
Tammy,WB (NL),16000000,2014-07-02,20000000.0,84525432.0,96407655.0
Paranormal Activity: The Marked Ones,Par.,58400000,2014-01-03,5000000.0,32462372.0,90904854.0
The Hundred-Foot Journey,BV,34600000,2014-08-08,22000000.0,54235441.0,94270488.0
John Wick,LG/S,45700000,2014-10-24,30000000.0,43037835.0,76235001.0
Snowpiercer,RTWC,82200000,2014-06-27,40000000.0,4563029.0,88069880.0
The Judge,WB,37300000,2014-10-10,50000000.0,47119388.0,76119388.0
Muppets Most Wanted,BV,29200000,2014-03-21,55000000.0,51178893.0,79312301.0
If I Stay,WB (NL),28400000,2014-08-22,11000000.0,50474843.0,78356170.0
"I, Frankenstein",LGF,52100000,2014-01-24,65000000.0,19075290.0,74575290.0
Think Like a Man Too,SGem,5000000,2014-06-20,24000000.0,65028687.0,70027933.0
Brick Mansions,Rela.,48500000,2014-04-25,28000000.0,20396829.0,73421224.0
Son of God,Fox,8100000,2014-02-28,22000000.0,59700064.0,70949793.0
Jersey Boys,WB,20600000,2014-06-20,40000000.0,47047013.0,65282732.0
The Giver,Wein.,21900000,2014-08-15,25000000.0,45090374.0,66540205.0
Selma,Par.,14700000,2015-01-09,20000000.0,52076908.0,66776576.0
Begin Again,Wein.,47300000,2014-06-27,8000000.0,16170632.0,68838736.0
The Legend of Hercules,LG/S,42400000,2014-01-10,70000000.0,18848538.0,58953319.0
Dolphin Tale 2,WB,15800000,2014-09-12,36000000.0,42024533.0,57824533.0
St. Vincent,Wein.,10700000,2014-10-10,13000000.0,44137712.0,54837234.0
A Walk Among the Tombstones,Uni.,26900000,2014-09-19,28000000.0,26017685.0,62108587.0
3 Days to Kill,Rela.,21900000,2014-02-21,28000000.0,30697999.0,38959900.0
Whiplash,SPC,35900000,2014-10-10,3300000.0,13092006.0,38969037.0
Earth to Echo,Rela.,6400000,2014-07-02,13000000.0,38934842.0,42174545.0
Boyhood,IFC,19100000,2014-07-11,4000000.0,25379975.0,57273049.0
Oculus,Rela.,16300000,2014-04-11,5000000.0,27695246.0,44115496.0
This is Where I Leave You,WB,7000000,2014-09-19,20000000.0,34296320.0,41296320.0
That Awkward Moment,Focus,14400000,2014-01-31,8000000.0,26068955.0,53068955.0
The Gambler,Par.,5600000,2014-12-10,25000000.0,33680992.0,38718031.0
The Gambler,Par.,5600000,1999-08-04,3000000.0,51773.0,101773.0
Million Dollar Arm,BV,2800000,2014-05-16,25000000.0,36447959.0,39217912.0
Nightcrawler,ORF,6300000,2014-10-31,8500000.0,32381218.0,50334418.0
Devil's Due,Fox,21100000,2014-01-17,7000000.0,15821461.0,36146087.0
A Most Wanted Man,RAtt.,19000000,2014-07-25,15000000.0,17237855.0,36068890.0
The Best of Me,Rela.,9200000,2014-10-17,26000000.0,26766213.0,41059418.0
The November Man,Rela.,7500000,2014-08-27,15000000.0,25018119.0,34820335.0
Draft Day,LG/S,620000,2014-04-11,25000000.0,28842237.0,29847480.0
Big Eyes,Wein.,14800000,2014-12-25,10000000.0,14482031.0,27317872.0
Top Five,Par.,800000,2014-12-12,12000000.0,25317379.0,26001741.0
And So It Goes,CE,10200000,2014-07-25,18000000.0,15160801.0,17920013.0
A Haunted House 2,ORF,6600000,2014-04-18,4000000.0,17329487.0,21206861.0
The Railway Man,Wein.,17900000,2014-04-11,18000000.0,4438438.0,23910210.0
Mr. Turner,SPC,18200000,2014-12-19,14000000.0,3958546.0,25187026.0
Labor Day,Par.,6900000,2014-01-31,18000000.0,13371528.0,14189810.0
The Drop,FoxS,7900000,2014-09-12,12600000.0,10724389.0,19054534.0
Inherent Vice,WB,6600000,2014-12-12,20000000.0,8110975.0,14772346.0
A Most Violent Year,A24,6300000,2014-12-31,20000000.0,5749134.0,8846875.0
The Babadook,IFC,9300000,2014-11-28,2000000.0,950792.0,7482387.0
