original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Secretariat,BV,537000,2010-10-08,35000000.0,59699513.0,60376247.0
The Ghost Writer,Sum.,44700000,2010-02-19,45000000.0,15541549.0,65532491.0
Morning Glory,Par.,29000000,2010-11-10,40000000.0,31011732.0,59795070.0
Remember Me,Sum.,37000000,2010-03-12,16000000.0,19068240.0,56506120.0
Cop Out,WB,10700000,2010-02-26,37000000.0,44875481.0,55909910.0
The Crazies,Over.,15700000,2010-02-26,19000000.0,39123589.0,56445534.0
Daybreakers,LGF,21300000,2010-01-08,20000000.0,30101577.0,51445503.0
The Switch,Mira.,22100000,2010-08-20,19000000.0,27758465.0,49858465.0
She's Out of My League,Par.,17800000,2010-03-12,20000000.0,32010860.0,48680977.0
Charlie St. Cloud,Uni.,17000000,2010-07-30,44000000.0,31206263.0,48478084.0
The Spy Next Door,LGF,20900000,2010-01-15,28000000.0,24307106.0,46752858.0
Machete,Fox,17500000,2010-09-03,12500000.0,26593646.0,46370970.0
My Name is Khan,FoxS,38300000,2010-02-12,8470000.0,4046336.0,42355526.0
Going the Distance,WB (NL),24200000,2010-09-03,32000000.0,17804299.0,43603990.0
Agora,NM,38400000,2010-05-28,70000000.0,619423.0,38992292.0
For Colored Girls,LGF,17300,2010-11-05,21000000.0,37729698.0,38017873.0
Brooklyn's Finest,Over.,9300000,2010-03-05,17000000.0,27163593.0,39233233.0
Furry Vengeance,Sum.,18600000,2010-04-30,35000000.0,17630465.0,39340177.0
Faster,CBS,12400000,2010-11-24,24000000.0,23240020.0,35792945.0
The Kids Are All Right,Focus,13900000,2010-07-09,4000000.0,20811365.0,36275469.0
You Will Meet a Tall Dark Stranger,SPC,31000000,2010-09-22,15000000.0,3247816.0,34247816.0
Leap Year,Uni.,6700000,2010-01-08,19000000.0,25918920.0,32618920.0
You Again,BV,6300000,2010-09-24,20000000.0,25702053.0,32838945.0
The Losers,WB,5800000,2010-04-23,25000000.0,23591432.0,29863840.0
Case 39,ParV,14900000,2010-10-01,27000000.0,13261851.0,28773827.0
Ramona and Beezus,Fox,1100000,2010-07-23,15000000.0,26167002.0,27469621.0
Splice,WB,9800000,2010-06-04,30000000.0,17010170.0,28542494.0
Let Me In,Over.,12000000,2010-10-01,20000000.0,12134935.0,28270399.0
Mao's Last Dancer,Gold.,17500000,2010-08-20,18000000.0,4806750.0,25941437.0
